date,amount,settlement_id,payment_id,description
2026-10-21,3982.00,REF623481,pay_REF623481,BrewBox Connoisseur
2026-10-26,3107.00,REF835343,pay_REF835343,Coffee subscription
2026-10-06,1459.00,REF497382,pay_REF497382,Coffee subscription
2026-10-18,13280.00,REF526117,pay_REF526117,Refund
2026-10-26,12931.00,REF267414,pay_REF267414,BrewBox Connoisseur
2026-10-07,9958.00,REF838797,pay_REF838797,Coffee subscription
2026-10-16,8847.00,REF195325,pay_REF195325,Coffee subscription
2026-10-04,3618.00,REF201639,pay_REF201639,BrewBox Connoisseur
2026-10-09,4398.00,REF801474,pay_REF801474,BrewBox Connoisseur
2026-10-07,10408.00,REF852470,pay_REF852470,BrewBox Starter
2026-10-23,7429.00,REF865990,pay_REF865990,Refund
2026-10-14,1492.00,REF863587,pay_REF863587,BrewBox Starter
2026-10-30,13256.00,REF656116,pay_REF656116,Coffee subscription
2026-10-14,10891.00,REF969634,pay_REF969634,BrewBox Starter
2026-10-11,1548.00,REF122056,pay_REF122056,Refund
2026-10-22,13642.00,REF870763,pay_REF870763,BrewBox Premium
2026-10-21,14288.00,REF632323,pay_REF632323,Refund
2026-10-08,11333.00,REF910620,pay_REF910620,BrewBox Starter
2026-10-24,3159.50,REF158655,pay_REF158655,Adjustment Misc
2026-10-02,1435.00,REF712554,pay_REF712554,BrewBox Connoisseur
2026-10-12,3003.00,REF899550,pay_REF899550,BrewBox Premium
2026-10-29,11668.00,REF663054,pay_REF663054,BrewBox Starter
2026-10-07,3035.00,REF411120,pay_REF411120,BrewBox Premium
2026-10-03,10646.00,REF539589,pay_REF539589,Refund
2026-10-09,3204.00,REF653306,pay_REF653306,Refund
2026-10-18,933.00,REF308496,pay_REF308496,Refund
2026-10-27,11441.00,REF681542,pay_REF681542,BrewBox Starter
2026-10-20,8007.00,REF690341,pay_REF690341,Coffee subscription
2026-10-05,5051.00,REF325772,pay_REF325772,BrewBox Starter
2026-10-09,10390.00,REF946335,pay_REF946335,Coffee subscription
2026-10-04,10975.00,REF126225,pay_REF126225,BrewBox Starter
2026-10-05,14886.00,REF377312,pay_REF377312,Coffee subscription
2026-10-29,6217.00,REF172132,pay_REF172132,BrewBox Premium
2026-10-09,9168.00,REF680099,pay_REF680099,Coffee subscription
2026-10-22,1612.00,REF346629,pay_REF346629,BrewBox Connoisseur
2026-10-11,7990.00,REF888387,pay_REF888387,Coffee subscription
2026-10-19,1923.00,REF542417,pay_REF542417,Coffee subscription
2026-10-30,3969.00,REF665492,pay_REF665492,BrewBox Premium
2026-10-13,2018.00,REF201414,pay_REF201414,BrewBox Starter
2026-10-13,1539.00,REF500156,pay_REF500156,Refund
2026-10-10,2326.00,REF555884,pay_REF555884,BrewBox Premium
2026-10-21,7927.00,REF974628,pay_REF974628,BrewBox Starter
2026-10-14,2795.00,REF292401,pay_REF292401,BrewBox Starter
2026-10-24,9988.00,REF668532,pay_REF668532,Coffee subscription
2026-10-07,4572.00,REF299448,pay_REF299448,Refund
2026-10-20,4269.00,REF330914,pay_REF330914,Coffee subscription
2026-10-18,12662.00,REF262998,pay_REF262998,BrewBox Starter
2026-10-21,11762.00,REF994343,pay_REF994343,BrewBox Starter
2026-10-06,9333.00,REF858490,pay_REF858490,Refund
2026-10-08,1448.00,REF694916,pay_REF694916,Coffee subscription
2026-10-02,9437.00,REF975136,pay_REF975136,BrewBox Starter
2026-10-13,10059.00,REF479580,pay_REF479580,BrewBox Premium
2026-10-11,557.00,REF908577,pay_REF908577,BrewBox Premium
2026-10-12,5549.00,REF934794,pay_REF934794,Coffee subscription
2026-10-29,4377.00,REF270395,pay_REF270395,BrewBox Premium
2026-10-28,1811.00,REF294851,pay_REF294851,Coffee subscription
2026-10-21,3003.00,REF267753,pay_REF267753,BrewBox Connoisseur
